gen,form,total_gb,kit,new_lots,new_sellers,new_min,new_p25,new_fast,new_med,new_p75,new_eur_gb,used_lots,used_sellers,used_min,used_p25,used_fast,used_med,used_p75,used_eur_gb,top_brands,top_speeds,vel_sampled,vel_active,vel_sold_total,vel_median_units_per_week_per_listing,vel_sum_units_per_week,cross_fast_landed,cross_best_vs_de_new
ddr3,sodimm,2,kit,0,0,,,,,,,5,4,5.6,5.72,7.0,7.0,10.83,3.5,SK Hynix:3; Transcend:1; Samsung:1,1066:4; 1333:1,0,0,0,,,,
ddr3,sodimm,4,1x,52,15,8.0,11.79,11.0,12.58,20.8,3.15,203,104,5.99,8.48,6.49,9.99,11.97,2.5,other:68; SK Hynix:45; Samsung:43; Kingston:25,1600:151; 1333:48; 1066:14,8,6,432,0.59,3.5,,
ddr3,sodimm,4,kit,4,4,11.8,12.1,15.0,15.0,23.16,3.75,71,59,4.2,7.0,5.99,10.6,14.85,2.65,Samsung:25; other:16; SK Hynix:11; Elpida:7,1333:30; 1066:19; 1600:10,8,5,23,0.0,0.1,,
ddr3,sodimm,8,1x,48,30,17.99,26.34,21.1,34.22,43.04,4.28,114,43,15.0,20.95,16.6,24.9,30.18,3.11,other:55; Samsung:22; Kingston:16; SK Hynix:12,1600:86; 1866:8; 1333:7,8,4,1959,0.04,6.3,,
ddr3,sodimm,8,kit,408,17,15.19,28.2,21.79,29.19,44.58,3.65,235,68,7.45,15.34,10.0,18.95,22.87,2.37,other:226; Samsung:134; HP:45; ASUS:34,1600:328; 1333:166; 1066:18,8,3,57,0.14,0.3,,
ddr3,sodimm,12,kit,0,0,,,,,,,3,3,20.19,,25.79,25.79,,2.15,other:2; SK Hynix:1,1600:2,0,0,0,,,,
ddr3,sodimm,16,1x,12,8,59.9,81.16,87.95,87.99,126.23,5.5,1,1,51.8,,51.8,51.8,,3.24,other:12; Crucial:1,1600:9; 1333:2,0,0,0,,,,
ddr3,sodimm,16,kit,243,32,43.44,46.07,43.67,62.49,78.42,3.91,25,18,26.19,39.5,27.69,47.0,51.73,2.94,other:78; Lenovo:28; HP:24; Samsung:20,1600:87; 1333:16; 1866:3,8,5,746,0.38,3.3,AT:43; FR:97; IT:41; ES:39; NL:39; GB:48; US:37,0.85
ddr3,sodimm,32,1x,1,1,136.95,,136.95,136.95,,4.28,0,0,,,,,,,other:1,1600:1,0,0,0,,,,
ddr3,sodimm,32,kit,8,4,89.25,89.53,92.19,92.19,122.64,2.88,5,4,60.0,67.3,94.59,94.59,106.75,2.96,Crucial:4; Samsung:4; Corsair:2; Micron:1,1600:7; 1333:3; 1866:1,0,0,0,,,,
ddr3,sodimm-ecc,2,1x,0,0,,,,,,,2,1,3.59,,3.59,3.59,,1.79,Samsung:2,1066:1; 1333:1,0,0,0,,,,
